Anio,Mes,Numero_Total_Ventas,Valor_Total_Ventas
2005,1,31870.940650406505,174918.3101808153
2005,2,37295.09430894309,206292.02860603892
2005,3,38210.91382113821,220291.6941037825
2005,4,28489.150406504064,151573.1965778425
2005,5,37498.45203252033,131223.848292332
2005,6,39549.38536585366,174750.79413728105
2005,7,49669.666666666664,179121.77059663655
2005,8,49395.0569105691,185520.31794359532
2005,9,58010.569918699184,211151.4213356831
2005,10,77972.65528455285,244582.74999494536
2005,11,83142.45609756098,238897.24196403648
2005,12,92146.96585365852,303276.9590347838
2006,1,82026.36829268292,239905.35638482097
2006,2,87346.35609756097,233593.62653655573
2006,3,99867.82276422765,240988.58341143013
2006,4,91677.2081300813,232248.55015391673
2006,5,89721.79024390243,229848.2352526066
2006,6,96103.881300813,266416.15006150596
2006,7,103574.86422764228,278105.0009362733
2006,8,102690.35853658537,317672.07631691004
2006,9,107657.75609756098,348190.91894449055
2006,10,107343.33902439024,309633.6970167342
2006,11,110436.97398373984,327070.1058204729
2006,12,117123.18048780489,345124.78913606827
2007,1,101580.7463414634,283882.2579707587
2007,2,104149.46666666666,294340.8000765406
2007,3,120875.04146341464,306894.7191005591
2007,4,111332.41463414632,286454.04185118707
2007,5,121925.17642276424,328411.92413415323
2007,6,125356.29105691056,348162.561119915
2007,7,125988.7211382114,340494.8345551646
2007,8,129612.00650406504,341167.87712453294
2007,9,126464.0512195122,330940.4611816116
2007,10,124751.02682926827,331947.4761707039
2007,11,130861.7406504065,351007.09334925236
2007,12,140105.32195121952,392764.0115405381
2008,1,127115.1162601626,280121.5228681228
2008,2,134948.25447154473,309728.9888434986
2008,3,152324.69593495934,384225.2195152006
2008,4,135134.12520325204,323796.5106306169
2008,5,153327.34227642277,491919.7863874138
2008,6,150983.1430894309,498743.07183418935
2008,7,155491.44878048782,449755.92685058934
2008,8,154210.17235772358,460336.0521830317
2008,9,153538.27398373984,443166.8044943636
2008,10,153527.44959349593,493562.29489809513
2008,11,157406.73089430894,461073.28701729106
2008,12,172020.20162601626,531957.8827678859
